2023-03-22T22:39:24+03:00
Running ./lab_benchmarks
Run on (12 X 5000 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x6)
  L1 Instruction 32 KiB (x6)
  L2 Unified 256 KiB (x6)
  L3 Unified 12288 KiB (x1)
Load Average: 0.86, 0.85, 0.95
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
----------------------------------------------------------------------------------------------------------------------------
Benchmark                                                                                  Time             CPU   Iterations
BM_Building_PersistentSegmentTree/Rectangles&Points:50                                139895 ns       139942 ns         4794
BM_Building_PersistentSegmentTree/Rectangles&Points:60                                186782 ns       186853 ns         3673
BM_Building_PersistentSegmentTree/Rectangles&Points:70                                182546 ns       182556 ns         3839
BM_Building_PersistentSegmentTree/Rectangles&Points:80                                211155 ns       211175 ns         3202
BM_Building_PersistentSegmentTree/Rectangles&Points:90                                239107 ns       239130 ns         2924
BM_Building_PersistentSegmentTree/Rectangles&Points:100                               277510 ns       277532 ns         2517
BM_Building_PersistentSegmentTree/Rectangles&Points:200                               622382 ns       622405 ns         1117
BM_Building_PersistentSegmentTree/Rectangles&Points:300                               992548 ns       992579 ns          697
BM_Building_PersistentSegmentTree/Rectangles&Points:400                              1376211 ns      1376230 ns          507
BM_Building_PersistentSegmentTree/Rectangles&Points:500                              1782845 ns      1782854 ns          394
BM_Building_PersistentSegmentTree/Rectangles&Points:600                              2177417 ns      2177465 ns          321
BM_Building_PersistentSegmentTree/Rectangles&Points:700                              3247870 ns      3248049 ns          218
BM_Building_PersistentSegmentTree/Rectangles&Points:800                              3761231 ns      3761305 ns          185
BM_Building_PersistentSegmentTree/Rectangles&Points:900                              4316323 ns      4316528 ns          162
BM_Building_PersistentSegmentTree/Rectangles&Points:1000                             4869681 ns      4869871 ns          130
BM_Building_PersistentSegmentTree/Rectangles&Points:10000                          106428535 ns    106426223 ns            6
BM_Building_PersistentSegmentTree/Rectangles&Points:20000                          234219329 ns    234211906 ns            3
BM_Building_PersistentSegmentTree/Rectangles&Points:30000                          363472682 ns    363459207 ns            2
BM_Building_PersistentSegmentTree/Rectangles&Points:40000                          503074787 ns    503052464 ns            1
BM_Building_PersistentSegmentTree/Rectangles&Points:50000                          630957844 ns    630973615 ns            1
BM_Building_PersistentSegmentTree/Rectangles&Points:60000                          778691467 ns    778684459 ns            1
BM_Building_PersistentSegmentTree/Rectangles&Points:70000                          922056996 ns    922023850 ns            1
BM_Building_PersistentSegmentTree/Rectangles&Points:80000                         1068739002 ns   1068744162 ns            1
BM_Building_PersistentSegmentTree/Rectangles&Points:90000                         1183849002 ns   1183843002 ns            1
BM_Building_PersistentSegmentTree/Rectangles&Points:100000                        1325703062 ns   1325660236 ns            1
BM_PerRequest_PersistentSegmentTree/Rectangles&Points:10                                 212 ns          213 ns      3293300
BM_PerRequest_PersistentSegmentTree/Rectangles&Points:20                                 213 ns          217 ns      3159695
BM_PerRequest_PersistentSegmentTree/Rectangles&Points:30                                 221 ns          224 ns      3085825
BM_PerRequest_PersistentSegmentTree/Rectangles&Points:40                                 223 ns          230 ns      3066610
BM_PerRequest_PersistentSegmentTree/Rectangles&Points:50                                 224 ns          228 ns      2968350
BM_PerRequest_PersistentSegmentTree/Rectangles&Points:60                                 224 ns          226 ns      3004371
BM_PerRequest_PersistentSegmentTree/Rectangles&Points:70                                 233 ns          234 ns      2951911
BM_PerRequest_PersistentSegmentTree/Rectangles&Points:80                                 237 ns          238 ns      2863497
BM_PerRequest_PersistentSegmentTree/Rectangles&Points:90                                 240 ns          239 ns      2884941
BM_PerRequest_PersistentSegmentTree/Rectangles&Points:100                                233 ns          236 ns      2888534
